aluno_id,nota_periodo_1,nota_periodo_2,nota_final,faltas,tempo_estudo,consumo_alcool_fds,apoio_familia,sexo,idade,prob_risco_%,risco_previsto,risco_real,reprovação,nivel_risco
1,5,6,6,6,2,1,0,F,18,96.7,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
2,5,5,6,4,2,1,1,F,17,90.3,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
3,7,8,10,10,2,3,0,F,15,70.6,1,0,3,RUIM - PLANO DE RECUPERAÇÃO URGENTE
4,15,14,15,2,3,1,1,F,15,2.8,0,0,0,EXCELENTE - MANTER AUTONOMIA
5,6,10,10,4,2,2,1,F,16,49.4,1,0,0,REGULAR - APOIO EXTRA OU TUTORIA
6,15,15,15,10,2,2,1,M,16,0.4,0,0,0,EXCELENTE - MANTER AUTONOMIA
7,12,12,11,0,2,1,0,M,16,5.7,0,0,0,EXCELENTE - MANTER AUTONOMIA
8,6,5,6,6,2,1,1,F,17,96.2,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
9,16,18,19,0,2,1,1,M,15,0.0,0,0,0,EXCELENTE - MANTER AUTONOMIA
10,14,15,15,0,2,1,1,M,15,0.4,0,0,0,EXCELENTE - MANTER AUTONOMIA
11,10,8,9,0,2,2,1,F,15,76.5,1,1,0,RUIM - PLANO DE RECUPERAÇÃO URGENTE
12,10,12,12,4,3,1,1,F,15,7.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
13,14,14,14,2,1,3,1,M,15,0.9,0,0,0,EXCELENTE - MANTER AUTONOMIA
14,10,10,11,2,2,2,1,M,15,11.5,0,0,0,EXCELENTE - MANTER AUTONOMIA
15,14,16,16,0,3,1,1,M,15,0.2,0,0,0,EXCELENTE - MANTER AUTONOMIA
16,14,14,14,4,1,2,1,F,16,2.7,0,0,0,EXCELENTE - MANTER AUTONOMIA
17,13,14,14,6,3,2,1,F,16,3.5,0,0,0,EXCELENTE - MANTER AUTONOMIA
18,8,10,10,4,2,1,1,F,16,86.9,1,0,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
19,6,5,5,16,1,4,1,M,17,99.2,1,1,3,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
20,8,10,10,4,1,3,0,M,16,22.8,0,0,0,BOM - MONITORIZAÇÃO OCASIONAL
21,13,14,15,0,2,1,0,M,15,0.4,0,0,0,EXCELENTE - MANTER AUTONOMIA
22,12,15,15,0,1,1,1,M,15,1.0,0,0,0,EXCELENTE - MANTER AUTONOMIA
23,15,15,16,2,2,3,0,M,16,0.3,0,0,0,EXCELENTE - MANTER AUTONOMIA
24,13,13,12,0,2,4,1,M,16,3.7,0,0,0,EXCELENTE - MANTER AUTONOMIA
25,10,9,8,2,3,1,1,F,15,59.1,1,1,0,REGULAR - APOIO EXTRA OU TUTORIA
26,6,9,8,14,1,3,1,F,16,93.4,1,1,2,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
27,12,12,11,2,1,2,1,M,15,5.6,0,0,0,EXCELENTE - MANTER AUTONOMIA
28,15,16,15,4,1,4,0,M,15,0.2,0,0,0,EXCELENTE - MANTER AUTONOMIA
29,11,11,11,4,2,1,1,M,16,11.9,0,0,0,EXCELENTE - MANTER AUTONOMIA
30,10,12,11,16,2,5,1,M,16,24.5,0,0,0,BOM - MONITORIZAÇÃO OCASIONAL
31,9,11,12,0,2,4,1,M,15,2.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
32,17,16,17,0,2,1,1,M,15,0.2,0,0,0,EXCELENTE - MANTER AUTONOMIA
33,17,16,16,0,2,1,1,M,15,0.3,0,0,0,EXCELENTE - MANTER AUTONOMIA
34,8,10,12,0,2,1,0,M,15,6.4,0,0,0,EXCELENTE - MANTER AUTONOMIA
35,12,14,15,0,1,1,1,M,16,1.2,0,0,0,EXCELENTE - MANTER AUTONOMIA
36,8,7,6,0,1,1,1,F,15,89.5,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
37,15,16,18,2,3,1,1,M,15,0.5,0,0,0,EXCELENTE - MANTER AUTONOMIA
38,15,16,15,7,3,1,1,M,16,0.6,0,0,0,EXCELENTE - MANTER AUTONOMIA
